repo,cve,type,version
linux,CVE-2021-46994,vul,v5.5
linux,CVE-2021-46994,vul,v5.10
linux,CVE-2021-46996,vul,v5.10
linux,CVE-2021-46996,vul,v5.12
linux,CVE-2021-46998,pre,v4.11
linux,CVE-2021-46998,vul,v4.16
linux,CVE-2021-46998,vul,v5.2
linux,CVE-2021-47001,pre,v5.3
linux,CVE-2021-47001,vul,v5.5
linux,CVE-2021-47001,vul,v5.7
linux,CVE-2021-47004,vul,v4.20
linux,CVE-2021-47004,vul,v5.4
linux,CVE-2021-47005,vul,v5.1
linux,CVE-2021-47005,vul,v5.7
linux,CVE-2021-47010,vul,v4.15
linux,CVE-2021-47010,vul,v5.6
linux,CVE-2021-47013,vul,v4.9
linux,CVE-2021-47013,vul,v5.8
linux,CVE-2021-47014,vul,v5.8
linux,CVE-2021-47014,vul,v5.9
linux,CVE-2021-47015,pre,v4.20
linux,CVE-2021-47015,vul,v5.1
linux,CVE-2021-47015,vul,v5.5
linux,CVE-2021-47016,pre,v3.14
linux,CVE-2021-47016,vul,v5.2
linux,CVE-2021-47016,vul,v5.11
linux,CVE-2021-47024,pre,v4.15
linux,CVE-2021-47024,vul,v5.2
linux,CVE-2021-47024,vul,v5.6
linux,CVE-2021-47036,vul,v5.6
linux,CVE-2021-47036,vul,v5.7
linux,CVE-2021-47043,vul,v5.5
linux,CVE-2021-47043,vul,v5.8
linux,CVE-2021-47056,vul,v4.7
linux,CVE-2021-47056,vul,v5.1
linux,CVE-2021-47060,pre,v5.1
linux,CVE-2021-47060,vul,v5.9
linux,CVE-2021-47060,vul,v5.10
linux,CVE-2021-47061,vul,v5.9
linux,CVE-2021-47061,vul,v5.10
linux,CVE-2021-47067,vul,v5.5
linux,CVE-2021-47067,vul,v5.6
linux,CVE-2021-47071,pre,v4.17
linux,CVE-2021-47071,vul,v4.20
linux,CVE-2021-47071,vul,v5.11
linux,CVE-2021-47078,vul,v4.8
linux,CVE-2021-47078,vul,v4.17
linux,CVE-2021-47090,vul,v5.10
linux,CVE-2021-47090,vul,v5.14
linux,CVE-2021-47109,vul,v5.0
linux,CVE-2021-47110,vul,v2.6.26
linux,CVE-2021-47110,vul,v3.10
linux,CVE-2021-47112,vul,v4.15
linux,CVE-2021-47113,vul,v4.7
linux,CVE-2021-47113,vul,v4.19
linux,CVE-2021-47117,vul,v3.0
