vul_id,repo,fixed_commit_sha,tag,version,vuddy,movery,v1scan,fire,vulture,verdict
CVE-2020-10251,ImageMagick/ImageMagick,868aad754ee599eb7153b84d610f2ecdf7b339f6,fix,7.0.11-2,TN,TN,TN,TN,TN,TN
CVE-2020-19667,ImageMagick/ImageMagick,5462fd4725018567764c8f66bed98b7ee3e23006,vul,7.0.7-39,FN,TP,TP,TP,FN,TP
CVE-2020-19667,ImageMagick/ImageMagick,5462fd4725018567764c8f66bed98b7ee3e23006,vul,7.0.8-19,FN,TP,TP,TP,FN,TP
CVE-2020-19667,ImageMagick/ImageMagick,5462fd4725018567764c8f66bed98b7ee3e23006,fix,7.1.0-32,TN,TN,TN,TN,FP,TN
CVE-2020-19667,ImageMagick/ImageMagick,5462fd4725018567764c8f66bed98b7ee3e23006,fix,7.1.2-0,TN,TN,TN,TN,TN,TN
CVE-2020-25665,ImageMagick/ImageMagick,cfd829bd3581b092e0a267b3deba46fa90b9bc88,vul,7.0.7-39,FN,FN,FN,FN,FN,TP
CVE-2020-25665,ImageMagick/ImageMagick,cfd829bd3581b092e0a267b3deba46fa90b9bc88,vul,7.0.7-4,FN,FN,FN,FN,FN,TP
CVE-2020-25665,ImageMagick/ImageMagick,cfd829bd3581b092e0a267b3deba46fa90b9bc88,fix,7.0.10-57,TN,TN,TN,TN,TN,TN
CVE-2020-25665,ImageMagick/ImageMagick,cfd829bd3581b092e0a267b3deba46fa90b9bc88,fix,7.1.1-41,TN,TN,TN,TN,TN,TN
CVE-2020-25674,ImageMagick/ImageMagick,67b871032183a29d3ca0553db6ce1ae80fddb9aa,vul,7.0.7-39,FN,TP,TP,TP,FN,FN
CVE-2020-25674,ImageMagick/ImageMagick,67b871032183a29d3ca0553db6ce1ae80fddb9aa,vul,7.0.6-2,FN,TP,TP,TP,FN,FN
CVE-2020-25674,ImageMagick/ImageMagick,67b871032183a29d3ca0553db6ce1ae80fddb9aa,fix,7.1.0-58,TN,TN,TN,TN,TN,TN
CVE-2020-25674,ImageMagick/ImageMagick,67b871032183a29d3ca0553db6ce1ae80fddb9aa,fix,7.1.2-0,TN,TN,TN,TN,TN,TN
CVE-2020-25675,ImageMagick/ImageMagick,64dc80b2e1907f7f20bf34d4df9483f938b0de71,vul,7.0.7-39,FN,TP,TP,FN,TP,TP
CVE-2020-25675,ImageMagick/ImageMagick,64dc80b2e1907f7f20bf34d4df9483f938b0de71,vul,7.0.8-43,FN,TP,FN,FN,FN,TP
CVE-2020-25675,ImageMagick/ImageMagick,64dc80b2e1907f7f20bf34d4df9483f938b0de71,fix,7.1.0-32,TN,TN,TN,TN,TN,TN
CVE-2020-25675,ImageMagick/ImageMagick,64dc80b2e1907f7f20bf34d4df9483f938b0de71,fix,7.1.1-16,TN,TN,TN,TN,FP,TN
CVE-2020-27560,ImageMagick/ImageMagick,ef59bd764f88d893f1219fee8ba696a5d3f8c1c4,vul,7.0.7-39,FN,TP,TP,TP,FN,TP
CVE-2020-27560,ImageMagick/ImageMagick,ef59bd764f88d893f1219fee8ba696a5d3f8c1c4,vul,7.0.7-17,FN,TP,TP,TP,FN,TP
CVE-2020-27560,ImageMagick/ImageMagick,ef59bd764f88d893f1219fee8ba696a5d3f8c1c4,fix,7.1.0-53,TN,TN,TN,TN,TN,TN
CVE-2020-27560,ImageMagick/ImageMagick,ef59bd764f88d893f1219fee8ba696a5d3f8c1c4,fix,7.1.2-0,TN,TN,TN,TN,FP,TN
CVE-2020-27751,ImageMagick/ImageMagick,f60d59cc3a7e3402d403361e0985ffa56f746a82,vul,7.0.7-39,FN,FN,FN,FN,FN,TP
CVE-2020-27751,ImageMagick/ImageMagick,f60d59cc3a7e3402d403361e0985ffa56f746a82,vul,7.0.7-17,FN,FN,FN,FN,FN,TP
CVE-2020-27751,ImageMagick/ImageMagick,f60d59cc3a7e3402d403361e0985ffa56f746a82,fix,7.1.0-29,TN,TN,TN,TN,TN,TN
CVE-2020-27751,ImageMagick/ImageMagick,f60d59cc3a7e3402d403361e0985ffa56f746a82,fix,7.1.1-44,TN,TN,TN,TN,TN,TN
CVE-2020-27753,ImageMagick/ImageMagick,bb3acad195de95db86c7509d8072db01890470e0,vul,7.0.7-39,FN,TP,TP,TP,FN,TP
CVE-2020-27753,ImageMagick/ImageMagick,bb3acad195de95db86c7509d8072db01890470e0,vul,7.0.8-4,FN,TP,TP,TP,TP,TP
CVE-2020-27753,ImageMagick/ImageMagick,bb3acad195de95db86c7509d8072db01890470e0,fix,7.1.0-52,TN,FP,FP,TN,TN,TN
CVE-2020-27753,ImageMagick/ImageMagick,bb3acad195de95db86c7509d8072db01890470e0,fix,7.1.2-0,TN,FP,FP,TN,TN,TN
CVE-2020-27756,ImageMagick/ImageMagick,f35eca82b0c294ff9d0ccad104a881c3ae2ba913,pre,7.0.7-1,TN,TN,TN,TN,TN,FP
