repo,cve,type,version
linux,CVE-2023-0030,vul,v4.15
linux,CVE-2023-0030,vul,v4.16
linux,CVE-2023-0459,vul,v5.5
linux,CVE-2023-1195,pre,v5.14
linux,CVE-2023-1195,vul,v5.16
linux,CVE-2023-1195,vul,v5.17
linux,CVE-2023-1252,vul,v5.6
linux,CVE-2023-1252,vul,v5.8
linux,CVE-2023-1281,vul,v5.1
linux,CVE-2023-1513,vul,v2.6.37
linux,CVE-2023-1611,vul,v4.7
linux,CVE-2023-21255,vul,v5.16
linux,CVE-2023-21255,vul,v6.0
linux,CVE-2023-2162,fix,v6.10
linux,CVE-2023-2162,vul,v2.6.29
linux,CVE-2023-2162,vul,v4.17
linux,CVE-2023-2177,vul,v4.15
linux,CVE-2023-2177,vul,v5.1
linux,CVE-2023-22999,vul,v5.12
linux,CVE-2023-22999,vul,v5.13
linux,CVE-2023-23006,vul,v5.4
linux,CVE-2023-23006,vul,v5.7
linux,CVE-2023-23455,vul,v3.5
linux,CVE-2023-2483,vul,v4.10
linux,CVE-2023-2483,vul,v4.9
linux,CVE-2023-25012,vul,v5.16
linux,CVE-2023-25012,vul,v5.6
linux,CVE-2023-2513,vul,v2.6.19
linux,CVE-2023-2513,vul,v4.10
linux,CVE-2023-25775,vul,v5.14
linux,CVE-2023-28466,vul,v5.19
linux,CVE-2023-2985,fix,v6.8
linux,CVE-2023-2985,vul,v2.6.38
linux,CVE-2023-3090,vul,v3.19
linux,CVE-2023-3090,vul,v4.6
linux,CVE-2023-31248,vul,v5.15
linux,CVE-2023-3141,vul,v2.6.39
linux,CVE-2023-3141,vul,v4.2
linux,CVE-2023-3338,vul,v4.2
linux,CVE-2023-35001,vul,v5.1
linux,CVE-2023-3567,fix,v6.3
linux,CVE-2023-35827,vul,v4.9
linux,CVE-2023-39194,vul,v3.15
linux,CVE-2023-39194,vul,v4.12
linux,CVE-2023-4147,vul,v5.15
linux,CVE-2023-4147,vul,v5.9
linux,CVE-2023-4206,vul,v3.18
linux,CVE-2023-4206,vul,v4.18
linux,CVE-2023-4207,vul,v4.16
linux,CVE-2023-4459,vul,v2.6.32
linux,CVE-2023-4459,vul,v3.9
linux,CVE-2023-4921,vul,v3.11
linux,CVE-2023-4921,vul,v3.8
linux,CVE-2023-5197,vul,v5.18
linux,CVE-2023-5197,vul,v5.9
linux,CVE-2023-52340,vul,v3.2
linux,CVE-2023-52434,vul,v6.4
linux,CVE-2023-52434,vul,v6.6
linux,CVE-2023-52439,pre,v4.2
linux,CVE-2023-52439,vul,v4.18
linux,CVE-2023-52439,vul,v5.1
linux,CVE-2023-52444,vul,v4.17
linux,CVE-2023-52448,vul,v5.3
linux,CVE-2023-52456,vul,v5.18
linux,CVE-2023-52456,vul,v5.9
