cveid,vul_file,vul_line,vul_func,pat_file,pat_line,pat_func,tar_file,tar_line,tar_func
tensorflow_tensorflow/CVE-2021-29605_7c8cc4ec,,,,common.c,47,TfLiteIntArrayCreate,/home/cyf/repo_dataset/tensorflow/tensorflow/third_party/xla/xla/backends/gpu/runtime/copy_thunk.h,122,operator ==
tensorflow_tensorflow/CVE-2022-23558_a1e1511d,common.c,53,TfLiteIntArrayCreate,common.c,53,TfLiteIntArrayCreate,/home/cyf/repo_dataset/tensorflow/tensorflow/third_party/xla/xla/backends/gpu/runtime/copy_thunk.h,122,operator ==
mm2_little-cms/OSV-2023-1117_178d7341,,,,cmstypes.c,925,Type_Text_Description_Read,/home/cyf/repo_dataset/mm2/Little-CMS/plugins/fast_float/src/fast_float_matsh.c,139,MatShaperFloat
mm2_little-cms/OSV-2022-647_f3f6b7bc,cmsvirt.c,828,cmsCreateNULLProfileTHR,cmsvirt.c,521,cmsCreateLab4ProfileTHR,/home/cyf/repo_dataset/mm2/Little-CMS/src/cmsio1.c,411,BuildGrayOutputPipeline
mm2_little-cms/OSV-2023-1164_1176e61a,cmsps2.c,1266,WriteOutputLUT,cmsps2.c,1266,WriteOutputLUT,/home/cyf/repo_dataset/mm2/Little-CMS/src/cmsxform.c,1123,cmsCreateExtendedTransform
mm2_little-cms/OSV-2024-267_fe8d3839,,,,cmscgats.c,1640,SetDataFormat,/home/cyf/repo_dataset/mm2/Little-CMS/src/cmsnamed.c,696,cmsMLUtranslationsCodes
mm2_little-cms/CVE-2016-10165_5ca71a7b,cmstypes.c,1424,Type_MLU_Read,,,,/home/cyf/repo_dataset/mm2/Little-CMS/src/cmstypes.c,5433,Type_Dictionary_Read
mm2_little-cms/CVE-2013-4160_91c2db7f,,,,cmsnamed.c,718,cmsAllocProfileSequenceDescription,/home/cyf/repo_dataset/mm2/Little-CMS/src/cmstypes.c,5325,ReadOneWChar
mm2_little-cms/OSV-2022-629_67736fea,cmslut.c,461,CubeSize,cmslut.c,461,CubeSize,/home/cyf/repo_dataset/mm2/Little-CMS/src/cmsplugin.c,324,_cmsWriteUInt64Number
mm2_little-cms/CVE-2013-7455_fefaaa43,cmscnvrt.c,467,DefaultICCintents,,,,/home/cyf/repo_dataset/mm2/Little-CMS/src/cmsopt.c,647,OptimizeByResampling
mm2_little-cms/OSV-2017-154_76d1dccf,,,,cmstypes.c,4456,Type_MPE_Read,/home/cyf/repo_dataset/mm2/Little-CMS/src/cmsvirt.c,288,cmsCreateLinearizationDeviceLinkTHR
mm2_little-cms/OSV-2022-843_ba7004c8,cmsopt.c,1663,OptimizeMatrixShaper,cmsopt.c,1663,OptimizeMatrixShaper,/home/cyf/repo_dataset/mm2/Little-CMS/plugins/fast_float/src/fast_float_15mats.c,265,OptimizeMatrixShaper15
opensc_opensc/CVE-2024-1454_5835f0d4,,,,pkcs15-authentic.c,858,authentic_emu_update_tokeninfo,/home/cyf/repo_dataset/OpenSC/OpenSC/src/pkcs15init/pkcs15-lib.c,2418,sc_pkcs15init_store_data
opensc_opensc/OSV-2021-262_17d8980c,pkcs15-oberthur.c,857,sc_pkcs15emu_oberthur_add_data,pkcs15-oberthur.c,857,sc_pkcs15emu_oberthur_add_data,/home/cyf/repo_dataset/OpenSC/OpenSC/src/libopensc/pkcs15-oberthur.c,665,sc_pkcs15emu_oberthur_add_cert
opensc_opensc/OSV-2022-237_4d7368fd,fuzz_pkcs15init.c,168,do_store_data_object,fuzz_pkcs15init.c,168,do_store_data_object,/home/cyf/repo_dataset/OpenSC/OpenSC/src/tools/pkcs15-init.c,1324,do_store_certificate
opensc_opensc/OSV-2020-693_e50bc29b,card-setcos.c,764,parse_sec_attr_44,,,,/home/cyf/repo_dataset/OpenSC/OpenSC/src/libopensc/card-sc-hsm.c,1000,sc_hsm_set_security_env
opensc_opensc/CVE-2019-19479_c3f23b83,,,,card-setcos.c,764,parse_sec_attr_44,/home/cyf/repo_dataset/OpenSC/OpenSC/src/libopensc/card-sc-hsm.c,1000,sc_hsm_set_security_env
opensc_opensc/OSV-2023-753_2a4921ab,,,,iasecc-sdo.c,207,iasecc_crt_parse,/home/cyf/repo_dataset/OpenSC/OpenSC/src/libopensc/card-iasecc.c,768,_iasecc_sm_read_binary
opensc_opensc/OSV-2023-1163_4013a807,pkcs15-setcos.c,255,setcos_new_file,pkcs15-setcos.c,255,setcos_new_file,/home/cyf/repo_dataset/OpenSC/OpenSC/src/pkcs15init/pkcs15-myeid.c,373,myeid_new_file
